TANQUE,PRODUCTO,h,DIAM.,CONO,h M.,T Â°C,LIT/CMS,KG/CMS,DENS.,KG.,% AGUA/OTRO,FECHA
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-11
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,506,55,114.0094494,102.60850445999999,0.9,10921.284463839998,,2020-05-12
TK2,INTERESTERIFICADO ,610,381,250,377,55,114.0094494,102.60850445999999,0.9,24157.78153918,,2020-05-12
TK3,PALMISTE RBD,610,381,250,547,55,114.0094494,98.048126484,0.86,6427.031968492,,2020-05-12
TK4,GRASA DURA ,610,381,250,320,55,114.0094494,102.60850445999999,0.9,30006.466293399997,,2020-05-12
TK5,PALMA RBD,610,381,250,356,55,114.0094494,102.60850445999999,0.9,26312.560132839997,,2020-05-12
TK 800,PALMA RBD,1224,968,5000,201,,735.9386496,662.34478464,0.9,682578.7146867199,,2020-05-12
TK 500,PALMA RBD,733,960,3500,130,20,723.82464,651.442176,0.9,396319.632128,,2020-05-12
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,464,50,114.0094494,102.31633039185253,0.8974372820000001,15188.18423721047,,2020-05-12
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,320,100,69.7466616,63.469462056,0.91,9008.785763728,,2020-05-12
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,365,60,69.7466616,63.469462056,0.91,6152.659971208,,2020-05-12
TK 370,PALMISTE CRUDO ,839,771,3891,780.5,60,466.8739614,415.517825646,0.89,28198.792800291,,2020-05-12
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-12
CRISTA 2,PALMA RBD,671,292,2200,481,50,66.9663456,60.0688120032,0.897,13613.074280608,,2020-05-12
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-12
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,150,50,20.106240000000003,17.894553600000002,0.89,2955.7612544000003,,2020-05-12
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,232,50,118.8475134,106.96276206,0.9,15937.451546940001,,2020-05-12
TK150 ,OLEINA DESPACHO ,915,490,1500,506,,188.57454,167.8313406,0.89,70143.01830540001,,2020-05-12
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-12
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-12
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-12
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-12
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-12
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-12
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,322,55,114.0094494,102.60850445999999,0.9,29801.249284479996,,2020-05-13
TK2,INTERESTERIFICADO ,610,381,250,390,55,114.0094494,102.60850445999999,0.9,22823.870981199998,,2020-05-13
TK3,PALMISTE RBD,610,381,250,550,55,114.0094494,98.048126484,0.86,6132.8875890399995,,2020-05-13
TK4,GRASA DURA ,610,381,250,338,55,114.0094494,102.60850445999999,0.9,28159.513213119997,,2020-05-13
TK5,PALMA RBD,610,381,250,135,55,114.0094494,102.60850445999999,0.9,48989.0396185,,2020-05-13
TK 800,PALMA RBD,1224,968,5000,301,,735.9386496,662.34478464,0.9,616344.2362227199,,2020-05-13
TK 500,PALMA RBD,733,960,3500,103,20,723.82464,651.442176,0.9,413908.57088,,2020-05-13
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,426,50,114.0094494,102.31633039185253,0.8974372820000001,19076.204792100867,,2020-05-13
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,vacio,100,69.7466616,63.469462056,0.91,,,2020-05-13
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,282,60,69.7466616,63.469462056,0.91,11420.625321856,,2020-05-13
TK 370,PALMISTE CRUDO ,839,771,3891,768,60,466.8739614,415.517825646,0.89,33392.765620866005,,2020-05-13
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-13
CRISTA 2,PALMA RBD,671,292,2200,313,50,66.9663456,60.0688120032,0.897,23704.6346971456,,2020-05-13
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-13
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,150,50,20.106240000000003,17.894553600000002,0.89,2955.7612544000003,,2020-05-13
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,144,50,118.8475134,106.96276206,0.9,25350.17460822,,2020-05-13
TK150 ,OLEINA DESPACHO ,915,490,1500,695,,188.57454,167.8313406,0.89,38422.894932,,2020-05-13
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-13
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-13
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-13
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-13
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-13
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-13
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,55,55,114.0094494,102.60850445999999,0.9,57197.719975299995,,2020-05-14
TK2,INTERESTERIFICADO ,610,381,250,403,55,114.0094494,102.60850445999999,0.9,21489.96042322,,2020-05-14
TK3,PALMISTE RBD,610,381,250,552,55,114.0094494,98.048126484,0.86,5936.7913360719995,,2020-05-14
TK4,GRASA DURA ,610,381,250,403,55,114.0094494,102.60850445999999,0.9,21489.96042322,,2020-05-14
TK5,PALMA RBD,610,381,250,558,55,114.0094494,102.60850445999999,0.9,5585.642231919999,,2020-05-14
TK 800,PALMA RBD,1224,968,5000,409,,735.9386496,662.34478464,0.9,544810.9994816,,2020-05-14
TK 500,PALMA RBD,733,960,3500,14,20,723.82464,651.442176,0.9,471886.924544,,2020-05-14
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,377,50,114.0094494,102.31633039185253,0.8974372820000001,24089.70498130164,,2020-05-14
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,270,100,69.7466616,63.469462056,0.91,12182.258866528,,2020-05-14
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,220,60,69.7466616,63.469462056,0.91,15355.731969327999,,2020-05-14
TK 370,PALMISTE CRUDO ,839,771,3891,768,60,466.8739614,415.517825646,0.89,33392.765620866005,,2020-05-14
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-14
CRISTA 2,PALMA RBD,671,292,2200,280,50,66.9663456,60.0688120032,0.897,25686.9054932512,,2020-05-14
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,50,50,145.22046,130.698414,0.9,13831.238228000002,,2020-05-14
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,150,50,20.106240000000003,17.894553600000002,0.89,2955.7612544000003,,2020-05-14
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,142,50,118.8475134,106.96276206,0.9,25564.10013234,,2020-05-14
TK150 ,OLEINA DESPACHO ,915,490,1500,800,,188.57454,167.8313406,0.89,20800.604169000002,,2020-05-14
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-14
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-14
CRISTA 1,,300,270,1200,50,60,57.25566,51.530094,0.9,14082.5235,,2020-05-14
CRISTA 2,,459,194,200,16,,29.56,26.604,0.9,11985.572,,2020-05-14
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-14
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-14
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,37,55,114.0094494,102.60850445999999,0.9,59044.673055579995,,2020-05-15
TK2,INTERESTERIFICADO ,610,381,250,400,55,114.0094494,102.60850445999999,0.9,21797.785936599998,,2020-05-15
TK3,PALMISTE RBD,610,381,250,557,55,114.0094494,98.048126484,0.86,5446.550703651999,,2020-05-15
TK4,GRASA DURA ,610,381,250,345,55,114.0094494,102.60850445999999,0.9,27441.253681899998,,2020-05-15
TK5,PALMA RBD,610,381,250,557,55,114.0094494,102.60850445999999,0.9,5688.25073638,,2020-05-15
TK 800,PALMA RBD,1224,968,5000,387,,735.9386496,662.34478464,0.9,559382.58474368,,2020-05-15
TK 500,PALMA RBD,733,960,3500,116,20,723.82464,651.442176,0.9,405439.822592,,2020-05-15
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,324,50,114.0094494,102.31633039185253,0.8974372820000001,29512.470492069824,,2020-05-15
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,380,100,69.7466616,63.469462056,0.91,5200.618040368,,2020-05-15
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,10,60,69.7466616,63.469462056,0.91,28684.319001088,,2020-05-15
TK 370,PALMISTE CRUDO ,839,771,3891,768,60,466.8739614,415.517825646,0.89,33392.765620866005,,2020-05-15
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-15
CRISTA 2,PALMA RBD,671,292,2200,176,50,66.9663456,60.0688120032,0.897,31934.061941584,,2020-05-15
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,127,50,145.22046,130.698414,0.9,3767.4603500000003,,2020-05-15
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,150,50,20.106240000000003,17.894553600000002,0.89,2955.7612544000003,,2020-05-15
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,182,50,118.8475134,106.96276206,0.9,21285.58964994,,2020-05-15
TK150 ,OLEINA DESPACHO ,915,490,1500,732,,188.57454,167.8313406,0.89,32213.1353298,,2020-05-15
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-15
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-15
CRISTA 1,,300,270,1200,76,60,57.25566,51.530094,0.9,12742.741055999999,,2020-05-15
CRISTA 2,,459,194,200,270,,29.56,26.604,0.9,5228.156,,2020-05-15
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-15
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-15
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,107,55,114.0094494,102.60850445999999,0.9,51862.077743379996,,2020-05-16
TK2,INTERESTERIFICADO ,610,381,250,422,55,114.0094494,102.60850445999999,0.9,19540.39883848,,2020-05-16
TK3,PALMISTE RBD,610,381,250,560,55,114.0094494,98.048126484,0.86,5152.406324199999,,2020-05-16
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-05-16
TK5,PALMA RBD,610,381,250,353,55,114.0094494,102.60850445999999,0.9,26620.38564622,,2020-05-16
TK 800,PALMA RBD,1224,968,5000,350,,735.9386496,662.34478464,0.9,583889.3417753599,,2020-05-16
TK 500,PALMA RBD,733,960,3500,170,20,723.82464,651.442176,0.9,370261.94508800004,,2020-05-16
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,272,50,114.0094494,102.31633039185253,0.8974372820000001,34832.91967244616,,2020-05-16
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,43,100,69.7466616,63.469462056,0.91,26589.82675324,,2020-05-16
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,207,60,69.7466616,63.469462056,0.91,16180.834976056,,2020-05-16
TK 370,PALMISTE CRUDO ,839,771,3891,829.5,60,466.8739614,415.517825646,0.89,7838.419343637001,,2020-05-16
CRISTA 1,PALMA RBD,671,292,2200,20,50,66.9663456,60.0688120032,0.897,41304.7966140832,,2020-05-16
CRISTA 2,PALMA RBD,671,292,2200,32,50,66.9663456,60.0688120032,0.897,40583.9708700448,,2020-05-16
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-16
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,304,50,20.106240000000003,17.894553600000002,0.89,200,,2020-05-16
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,100,50,118.8475134,106.96276206,0.9,30056.53613886,,2020-05-16
TK150 ,OLEINA DESPACHO ,915,490,1500,728,,188.57454,167.8313406,0.89,32884.4606922,,2020-05-16
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-16
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-16
CRISTA 1,,300,270,1200,220,60,57.25566,51.530094,0.9,5322.40752,,2020-05-16
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-16
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-16
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-16
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,257,55,114.0094494,102.60850445999999,0.9,36470.80207438,,2020-05-18
TK2,INTERESTERIFICADO ,610,381,250,428,55,114.0094494,102.60850445999999,0.9,18924.747811719997,,2020-05-18
TK3,PALMISTE RBD,610,381,250,143,55,114.0094494,98.048126484,0.86,46038.475068028,,2020-05-18
TK4,GRASA DURA ,610,381,250,VACIO,55,114.0094494,102.60850445999999,0.9,,,2020-05-18
TK5,PALMA RBD,610,381,250,414,55,114.0094494,102.60850445999999,0.9,20361.26687416,,2020-05-18
TK 800,PALMA RBD,1224,968,5000,322,,735.9386496,662.34478464,0.9,602434.99574528,,2020-05-18
TK 500,PALMA RBD,733,960,3500,172,20,723.82464,651.442176,0.9,368959.060736,,2020-05-18
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,-,50,114.0094494,102.31633039185253,0.8974372820000001,,,2020-05-18
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,14,100,69.7466616,63.469462056,0.91,28430.441152863998,,2020-05-18
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,165,60,69.7466616,63.469462056,0.91,18846.552382408,,2020-05-18
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-18
CRISTA 1,PALMA RBD,671,292,2200,185,50,66.9663456,60.0688120032,0.897,31393.4426335552,,2020-05-18
CRISTA 2,PALMA RBD,671,292,2200,7,50,66.9663456,60.0688120032,0.897,42085.6911701248,,2020-05-18
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,140,50,145.22046,130.698414,0.9,2068.3809680000004,,2020-05-18
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-18
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,133,50,118.8475134,106.96276206,0.9,26526.76499088,,2020-05-18
TK150 ,OLEINA DESPACHO ,915,490,1500,444,,188.57454,167.8313406,0.89,80548.5614226,,2020-05-18
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-18
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-18
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-18
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-18
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-18
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-18
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,131,55,114.0094494,102.60850445999999,0.9,49399.47363633999,,2020-05-19
TK2,INTERESTERIFICADO ,610,381,250,456,55,114.0094494,102.60850445999999,0.9,16051.709686839999,,2020-05-19
TK3,PALMISTE RBD,610,381,250,156,55,114.0094494,98.048126484,0.86,44763.849423736,,2020-05-19
TK4,GRASA DURA ,610,381,250,542,55,114.0094494,102.60850445999999,0.9,7227.378303279999,,2020-05-19
TK5,PALMA RBD,610,381,250,305,55,114.0094494,102.60850445999999,0.9,31545.593860299996,,2020-05-19
TK 800,PALMA RBD,1224,968,5000,232,,735.9386496,662.34478464,0.9,662046.0263628799,,2020-05-19
TK 500,PALMA RBD,733,960,3500,328,20,723.82464,651.442176,0.9,267334.08128,,2020-05-19
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,532,50,114.0094494,102.31633039185253,0.8974372820000001,8230.673770564497,,2020-05-19
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,23,100,69.7466616,63.469462056,0.91,27859.215994359998,,2020-05-19
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,458,60,69.7466616,63.469462056,0.91,250,,2020-05-19
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-19
CRISTA 1,PALMA RBD,671,292,2200,164,50,66.9663456,60.0688120032,0.897,32654.8876856224,,2020-05-19
CRISTA 2,PALMA RBD,671,292,2200,3,50,66.9663456,60.0688120032,0.897,42325.9664181376,,2020-05-19
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,147,50,145.22046,130.698414,0.9,1153.49207,,2020-05-19
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,200,50,20.106240000000003,17.894553600000002,0.89,2061.0335744000004,,2020-05-19
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,146,50,118.8475134,106.96276206,0.9,25136.2490841,,2020-05-19
TK150 ,OLEINA DESPACHO ,915,490,1500,588,,188.57454,167.8313406,0.89,56380.8483762,,2020-05-19
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-19
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-19
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-19
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-19
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-19
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-19
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,410,55,114.0094494,102.60850445999999,0.9,20771.700891999997,,2020-05-20
TK2,INTERESTERIFICADO ,610,381,250,468,55,114.0094494,102.60850445999999,0.9,14820.40763332,,2020-05-20
TK3,PALMISTE RBD,610,381,250,175,55,114.0094494,98.048126484,0.86,42900.93502054,,2020-05-20
TK4,GRASA DURA ,610,381,250,342,55,114.0094494,102.60850445999999,0.9,27749.07919528,,2020-05-20
TK5,PALMA RBD,610,381,250,267,55,114.0094494,102.60850445999999,0.9,35444.71702978,,2020-05-20
TK 800,PALMA RBD,1224,968,5000,333,,735.9386496,662.34478464,0.9,595149.20311424,,2020-05-20
TK 500,PALMA RBD,733,960,3500,371,20,723.82464,651.442176,0.9,239322.06771200002,,2020-05-20
TK 60,ACIDOS GRASOS DE PALMA,610,381,250,459,50,114.0094494,102.31633039185253,0.8974372820000001,15699.765889169732,,2020-05-20
N1,ACEITE DE PALMA CRUDO (CPO),458,298,250,VACIO,100,69.7466616,63.469462056,0.91,,,2020-05-20
N2,ACEITE DE PALMA BLANQUEADO (BPO),458,298,250,175,60,69.7466616,63.469462056,0.91,18211.857761847998,,2020-05-20
TK 370,PALMISTE CRUDO ,839,771,3891,801,60,466.8739614,415.517825646,0.89,19680.677374548002,,2020-05-20
CRISTA 1,PALMA RBD,671,292,2200,170,50,66.9663456,60.0688120032,0.897,32294.4748136032,,2020-05-20
CRISTA 2,PALMA RBD,671,292,2200,28,50,66.9663456,60.0688120032,0.897,40824.2461180576,,2020-05-20
TOLVA ,ESTEARINA DE PALMA RBD,152,430,500,152,50,145.22046,130.698414,0.9,500,,2020-05-20
OLEINA LAVADO,OLEINA LAVADO ,304,160,200,VACIO,50,20.106240000000003,17.894553600000002,0.89,,,2020-05-20
TK40 RECEPCION ,OLEINA PROCESO ,381,389,0,235,50,118.8475134,106.96276206,0.9,15616.56326076,,2020-05-20
TK150 ,OLEINA DESPACHO ,915,490,1500,314,,188.57454,167.8313406,0.89,102366.6357006,,2020-05-20
TK EMPAQUE  ,OLEINA ,306,249,200,-,70,48.6955854,43.339071006,0.89,,,2020-05-20
OLEINA ENVASADA,OLEINA ENVASADA,,,,-,,,0,,,,2020-05-20
CRISTA 1,,300,270,1200,VACIO,60,57.25566,51.530094,0.9,,,2020-05-20
CRISTA 2,,459,194,200,VACIO,,29.56,26.604,0.9,,,2020-05-20
TOLVA 1,,190,205,200,VACIO,70,33.006434999999996,26.405147999999997,0.8,,,2020-05-20
TOLVA 2,,152,271,300,VACIO,70,57.6805614,46.144449120000004,0.8,,,2020-05-20
TK1,ESTEARINA  DE PALMA  RBD,610,381,250,357,55,114.0094494,102.60850445999999,0.9,26209.951628379997,,2020-05-21
TK2,INTERESTERIFICADO ,610,381,250,492,55,114.0094494,102.60850445999999,0.9,12357.803526279999,,2020-05-21
TK3,PALMISTE RBD,610,381,250,185,55,114.0094494,98.048126484,0.86,41920.4537557,,2020-05-21
TK4,GRASA DURA ,610,381,250,347,55,114.0094494,102.60850445999999,0.9,27236.036672979997,,2020-05-21
TK5,PALMA RBD,610,381,250,260,55,114.0094494,102.60850445999999,0.9,36162.976560999996,,2020-05-21
TK 800,PALMA RBD,1224,968,5000,410,,735.9386496,662.34478464,0.9,544148.65469696,,2020-05-21
